smiles,descriptors,fitnesses
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2N)CC1,"[0.3065989305212122, 0.13483333333333367, 0.4991428571428572, 0.548535555555556]",0.5104166666666666
CCCN(C)S(=O)(=O)c1ccc(O)c(-c2ccccc2N)c1,"[0.28824079848484846, 0.52865, 0.5973571428571428, 0.5340222222222226]",0.38095238095238093
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"[0.3640235626909091, 0.31336666666666674, 0.31328571428571433, 0.5551755555555562]",0.5104166666666666
CN1CCN(Cc2ccccc2Pc2cc(S(=O)(=O)N(C)O)ccc2F)CC1,"[0.606466143969697, 0.2853499999999999, 0.4577857142857143, 0.7770477777777784]",0.4818181818181818
CN(C)S(=O)(=O)c1ccc(Br)c(-c2ccc(Br)c(Cl)c2)c1,"[0.6844375803151516, 0.8803833333333339, 0.267, 0.5906755555555556]",0.34285714285714286
CN1CCN(CS(=O)(=O)c2ccccc2)CC1,"[0.08820878429090907, 0.19419999999999993, 0.2901428571428572, 0.3062755555555561]",0.4
CC1=C(C)c2ccccc2C(=O)C1=NCCN1CCN(C)CC1,"[0.2612114012727273, 0.47745, 0.2565, 0.6142166666666671]",0.42857142857142855
CN1CCN(CCCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2CN=[N+]=[N-])CC1,"[0.7006992280727274, 0.6823666666666671, 0.6615714285714286, 0.9762088888888893]",0.5765765765765766
CCCc1ccc2c(c1)N(C(=O)O)c1ccccc1S2,"[0.1820677264242425, 0.9033000000000003, 0.2895714285714286, 0.4573977777777783]",0.30275229357798167
CN(C)S(=O)(=O)c1ccc(Br)c(-c2ccc(-c3ccccn3)c(CCN=[N+]=[N-])c2)c1,"[0.788036690848485, 0.9635333333333341, 0.7073571428571429, 0.9044311111111112]",0.3412698412698413
CN1CCN(CCN(N)S(=O)(=O)c2ccc3c(c2)N(C(=O)O)c2ccccc2S3)CC1,"[0.7216205947878785, 0.42985000000000007, 0.7887142857142857, 0.8798555555555561]",0.5495495495495496
CN1CCN(Cc2cc(S(=O)(=O)N(C)N)ccc2N)CC1,"[0.26714316962424245, 0.0017333333333338086, 0.685, 0.47516222222222254]",0.40594059405940597
CN(C)S(=O)(=O)C(=O)N(F)CN1CCN(Cl)CC1,"[0.2335199008242424, 0.06886666666666685, 0.45835714285714285, 0.27573111111111137]",0.2336448598130841
CN1CCN(N2CCN(Cc3ccccc3-c3cc(S(=O)(=O)N(C)C)ccc3F)CC2)CC1,"[0.7583082562060606, 0.42049999999999993, 0.3595714285714286, 0.9847644444444452]",0.5344827586206896
CN(C)S(=O)(=O)c1ccc(O)c(CN=[N+]=[N-])c1,"[0.09413033710303029, 0.3254666666666667, 0.7597857142857142, 0.2425511111111115]",0.2621359223300971
CN1CCN(CCc2cc(S(=O)(=O)N(C)N)ccc2-c2ccccc2S(N)(=O)=O)CC1,"[0.7338366557818181, 0.1308500000000006, 0.9288571428571428, 0.8892044444444448]",0.5315315315315315
CN(C)S(=O)(=O)c1ccc2c(c1)N(F)c1ccccc1S2,"[0.3001219632606063, 0.6540166666666671, 0.2901428571428572, 0.45696444444444495]",0.4742268041237113
CN1CCN(CCc2ccccc2-c2cc(S(=O)(=O)N(C)C)ccc2O)CC1,"[0.5399786751151515, 0.4332333333333333, 0.4577857142857143, 0.8006288888888894]",0.6632653061224489
CN(C)S(=O)(=O)c1ccc(-c2ccccc2CN=[N+]=[N-])c(CCN=[N+]=[N-])c1,"[0.485248769236364, 0.7945000000000007, 0.9635714285714286, 0.7035311111111114]",0.36752136752136755
CN1CCN(CCc2ccc3c(c2)N(Br)c2ccccc2S3)CC1,"[0.539611456981818, 0.8148500000000006, 0.06942857142857144, 0.7301555555555562]",0.49038461538461536
CCCN(F)S(=O)(=O)c1ccc2c(c1)N(C(=O)O)c1ccccc1S2,"[0.47589614296969707, 0.7920833333333338, 0.5565714285714286, 0.5829066666666672]",0.375
CN(C)S(=O)(=O)c1ccc(-c2ccccc2CN=[N+]=[N-])c(CO)c1,"[0.3669998831393939, 0.5677500000000002, 0.7597857142857143, 0.5724844444444449]",0.39814814814814814
CN1CCN(CN2CCN(CCc3cc(S(=O)(=O)N(C)C)ccc3P)CC2)CC1,"[0.6552507061272727, 0.05038333333333389, 0.3595714285714286, 0.9145866666666674]",0.4188034188034188
CCCCc1cc(S(=O)(=O)N(C)C)ccc1-c1ccccc1,"[0.279227121139394, 0.7410833333333339, 0.267, 0.5706977777777783]",0.3904761904761905
CN1CCN(CCc2ccccc2Cl)CC1,"[0.039768716024242375, 0.4383166666666667, 0.04628571428571429, 0.3232555555555561]",0.3645833333333333
CN1CCN(CS(=O)(=[BrH])N(C)Cl)CC1,"[0.24241340286060611, 0.16974999999999996, 0.19135714285714286, 0.28908222222222263]",0.2708333333333333
Cc1ccc(S(=O)(=O)N(C)C)cc1-c1ccccc1CCN1CCN(C)CC1,"[0.5339809037333335, 0.5337033333333335, 0.31328571428571433, 0.8347644444444452]",0.6632653061224489
CN1CCN(CCC(=O)NC(=O)Nc2ccccc2N)CC1,"[0.24298537871515163, 0.17573333333333344, 0.6478571428571428, 0.5174422222222227]",0.33636363636363636
Cc1ccc(S(=O)(=O)N(C)N)cc1-c1ccc(N)c(CN2CCN(C)CC2)c1,"[0.5400127156606063, 0.33097000000000015, 0.6849999999999999, 0.8104177777777782]",0.4727272727272727
CN1CCN(CCN(C)S(=O)(=O)c2ccc(O)c(-c3ccccc3N)c2)CC1,"[0.5429945810787881, 0.3348833333333334, 0.6436428571428572, 0.7967555555555562]",0.5825242718446602
CN(C)S(=O)(=O)c1ccc(N)c(CN=[N+]=[N-])c1,"[0.09114847168484845, 0.3049, 0.8011428571428573, 0.2730800000000002]",0.2621359223300971
CN(C)S(=O)(=O)c1ccc(-c2ccccc2Cl)c(CO)c1,"[0.3031937637939393, 0.5416000000000002, 0.4115, 0.48537333333333377]",0.42
CCCc1cc(S(=O)(=O)N(C)C)ccc1-c1ccccc1CN=[N+]=[N-],"[0.403473778618182, 0.8111166666666674, 0.6152857142857143, 0.662175555555556]",0.4
CN(CN=[N+]=[N-])S(=O)(=O)c1ccc(Cl)c(CCCN=[N+]=[N-])c1,"[0.35776309505454573, 0.661866666666667, 0.9635714285714286, 0.4749755555555559]",0.1885245901639344
CN1CCN(CCc2cc(-c3cc(S(=O)(=[ClH])N(C)C)ccc3Cl)ccc2Br)CC1,"[0.8910646999272727, 0.8442333333333342, 0.19135714285714286, 0.9952488888888891]",0.4732142857142857
Cc1ccc(S(=O)(=O)N(C)C)cc1S(=O)(=O)c1ccc2c(c1)N(C(=O)O)c1ccccc1S2,"[0.8456010586666666, 0.809803333333334, 0.8004285714285716, 0.9408266666666673]",0.3779527559055118
CN(C)S(=O)(=O)c1ccc(-c2ccccc2C#N)c(C#N)c1,"[0.26082681107878813, 0.4745433333333334, 0.6068571428571429, 0.4686755555555559]",0.3942307692307692
CN1CCN(c2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2)CC1,"[0.4065659031515152, 0.4759500000000001, 0.31328571428571433, 0.6940088888888896]",0.5346534653465347
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2CN=[N+]=[N-])CC1,"[0.6582275612121214, 0.6173500000000004, 0.6615714285714286, 0.9249088888888893]",0.5925925925925926
CN1CCN(N2CCN(CCN3CCN(CS(=O)(=[BrH])N(C)Cl)CC3)CC2)CC1,"[0.8368643017696972, 0.028116666666667383, 0.2839285714285715, 0.9115933333333341]",0.21481481481481482
CN1CCN(CCc2cc(S(=O)(=O)N(C)c3ccccn3)ccc2Br)CC1,"[0.6881459367878788, 0.49318333333333325, 0.4053571428571429, 0.7956533333333341]",0.49074074074074076
CN1CCN(Cc2cc(S(=O)(=O)N(C)C)ccc2O)CC1,"[0.26710912907878787, 0.14831666666666674, 0.4577857142857143, 0.46392888888888945]",0.4791666666666667
CN1CCN(CCc2ccc3c(c2)Nc2ccccc2S3)CC1,"[0.303518996169697, 0.6974500000000003, 0.1322142857142857, 0.6436744444444451]",0.5
CN1CCN(Cc2ccccc2-c2cc(S(=O)(=O)N(C)O)ccc2F)CC1,"[0.5095522449939393, 0.4583000000000001, 0.4577857142857143, 0.6816144444444452]",0.5533980582524272
CN1CCN(CS(=O)(=O)CS(=O)(=O)c2ccccc2)CC1,"[0.3245043912727273, 0.08958333333333353, 0.534, 0.45946222222222277]",0.375
CN1CCN(Cc2ccccc2Pc2cc(S(=O)(=O)N(C)O)ccc2N)CC1,"[0.5974368131939395, 0.19253333333333345, 0.6436428571428572, 0.8265411111111116]",0.4818181818181818
CN1CCN(CCCN(N)S(=O)(=O)c2ccc3c(c2)N(C(=O)O)c2ccccc2S3)CC1,"[0.7640922616484846, 0.4948666666666668, 0.7887142857142857, 0.9311555555555561]",0.5350877192982456
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2S(N)(=O)=O)CC1,"[0.7308207498181818, 0.256866666666667, 0.7430000000000001, 0.9085000000000005]",0.6037735849056604
CN1CCN(CCC(=O)N(F)c2cc(S(=O)(=O)N(C)C)ccc2CS(C)(=O)=O)CC1,"[0.7247161825696969, 0.13941666666666716, 0.7022142857142857, 0.8112288888888897]",0.4224137931034483
CN1CCN(CCc2ccccc2-c2cc(S(=O)(=O)N(C)C)ccc2F)CC1,"[0.5460261404727272, 0.5054833333333334, 0.31328571428571433, 0.781664444444445]",0.6632653061224489
CCc1ccccc1-c1cc(S(=O)(=O)N(C)C)ccc1O,"[0.24275322566060606, 0.5619833333333336, 0.4115, 0.486595555555556]",0.4489795918367347
CN1CCN(CCN2CCN(c3ccccc3)CC2)CC1,"[0.19161029362424237, 0.25933333333333347, 0.09257142857142858, 0.5448000000000007]",0.3125
CCCN1c2ccccc2Sc2ccc(C)cc21,"[0.0912368804363636, 0.917953333333334, 0.023142857142857146, 0.43378888888888933]",0.3300970873786408
CN(C)S(=O)(=O)c1ccc(O)c(Cl)c1,"[0.030324217757575756, 0.2993166666666667, 0.4115, 0.15544000000000036]",0.2736842105263158
CN1CCN(CCc2ccc3c(c2)N(C(=O)OF)c2ccccc2S3)CC1,"[0.4913384126181818, 0.7667166666666673, 0.2572857142857143, 0.7152888888888894]",0.46846846846846846
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2Br)CC1,"[0.49720381850909096, 0.33155000000000007, 0.31328571428571433, 0.585064444444445]",0.5104166666666666
Cc1ccc2c(c1)N(CCN1CCN(C)CC1)c1ccccc1S2,"[0.34599066303030324, 0.7241866666666672, 0.06942857142857144, 0.6965222222222228]",0.5048543689320388
CN(C)S(=O)(=O)c1ccc(Br)c(Cl)c1,"[0.2179472403272729, 0.4754666666666667, 0.267, 0.22249777777777807]",0.2736842105263158
CN1CCN(CN2CCN(c3cc(S(=O)(=O)N(C)C)ccc3-c3ccccn3)CC2)CC1,"[0.706807258569697, 0.3043000000000003, 0.4516428571428572, 0.9807644444444451]",0.4666666666666667
CCCCN(F)S(=O)(=O)c1ccc2c(c1)N(C(=O)O)c1ccccc1S2,"[0.5183678098303031, 0.8571000000000005, 0.5565714285714286, 0.634206666666667]",0.3652173913043478
CN1CCN(CCC(F)C(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2N)CC1,"[0.5339081484121213, 0.15553333333333372, 0.707, 0.7089655555555562]",0.44954128440366975
CN(C)S(=O)(=O)c1ccc(Cl)c(Cl)c1,"[0.0847669845090909, 0.45728333333333343, 0.267, 0.19260888888888922]",0.2736842105263158
CN(C)S(=O)(=O)c1ccc(CN=[N+]=[N-])c(Cl)c1,"[0.14857310385454559, 0.48343333333333344, 0.6152857142857143, 0.27972000000000036]",0.2621359223300971
CN(C)S(=O)(=O)c1ccc(CO)c(-c2ccccc2N)c1,"[0.2457691316242424, 0.36306666666666665, 0.5973571428571428, 0.4787333333333336]",0.43434343434343436
CN1CCN(CCN(N)S(=O)(=O)c2ccc(O)c(-c3ccccc3N)c2)CC1,"[0.5460104870424244, 0.2088666666666669, 0.8295, 0.7774600000000004]",0.5523809523809524
CN1CCN(Cc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"[0.32155189583030297, 0.30628333333333335, 0.31328571428571433, 0.5010977777777784]",0.4791666666666667
CN1CCN(CCc2cccc(S(=O)(=O)N(C)C)c2)CC1,"[0.26111135769696975, 0.20446666666666669, 0.31328571428571433, 0.4995088888888895]",0.5212765957446809
CN1CCN(CCc2cc(S(=O)(=P)N(C)C)ccc2Br)CC1,"[0.5456482792424243, 0.48611666666666675, 0.19135714285714286, 0.6688155555555562]",0.4215686274509804
CN1CCN(CCc2ccc3c(c2)N(C(=O)O)c2ccccc2S3)CC1,"[0.43682150901818184, 0.7095333333333337, 0.33585714285714285, 0.7201311111111118]",0.48148148148148145
CN(C)S(=O)(=O)c1ccc(-c2ccccc2)c(ON2CCN(N=[N+]=[N-])CC2)c1,"[0.5368103320121215, 0.5401000000000002, 0.7275, 0.7296755555555561]",0.41379310344827586
Cc1ccc(S(=O)(=O)N(C)C)cc1-c1ccccc1CN1CCN(C)CC1,"[0.49150923687272746, 0.5266200000000002, 0.31328571428571433, 0.7806866666666674]",0.6326530612244898
CN1CCN(CCc2cc(-c3cc(S(=O)(=O)N(C)C)ccc3Cl)ccc2Br)CC1,"[0.8305139026787879, 0.7182833333333338, 0.31328571428571433, 0.9233533333333341]",0.5566037735849056
CN(C)S(=O)(=O)c1ccc(Cl)c(-c2ccc(Br)c(-c3ccccn3)c2)c1,"[0.6817589046424244, 0.9303000000000008, 0.3590714285714286, 0.7632422222222223]",0.35344827586206895
CN(F)S(=O)(=O)c1ccc2c(c1)N(C(=O)O)c1ccccc1S2,"[0.39095280924848497, 0.6620500000000004, 0.5565714285714286, 0.4803066666666671]",0.38317757009345793
CN1CCN(CN2CCN(CS(=O)(=[BrH])N(C)Cl)CC2)CC1,"[0.5396388523151515, 0.09893333333333347, 0.23764285714285716, 0.6003377777777784]",0.23275862068965517
CN1CCN(Cc2cc(CCc3cc(S(=O)(=O)N(C)C)ccc3P)ccc2Cl)CC1,"[0.7338070077030304, 0.5205500000000002, 0.31328571428571433, 0.9810311111111117]",0.48672566371681414
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2P)CC1,"[0.3580252566727273, 0.12120000000000018, 0.31328571428571433, 0.6033311111111116]",0.5104166666666666
Cc1ccc(S(=O)(=O)N(C)C)cc1S(=O)(=O)c1cc(S(=O)(=O)N(C)C)ccc1O,"[0.7183603455878788, 0.25567, 0.9223571428571429, 0.7387022222222227]",0.28
CCCN(O)S(=O)(=O)c1ccc(O)c(-c2ccccc2N)c1,"[0.29423856986666674, 0.48855000000000004, 0.7418571428571429, 0.48805000000000026]",0.35514018691588783
CN(C)S(=O)(=O)c1ccc(O)c(CO)c1,"[0.018353117866666678, 0.10580000000000005, 0.556, 0.16558222222222263]",0.27835051546391754
