index,smiles,pedegree,descriptors,fitnesses
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2O)CC1,CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2O)CC1,"('crossover', 'CN1CCN(CCC(=O)N(C)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1', 'CN1CCN(Cc2cc(S(=O)(=O)N(C)C)ccc2O)CC1')","[0.3095807959393939, 0.15540000000000007, 0.4577857142857143, 0.5180066666666673]",0.5104166666666666
CCCc1cc(O)ccc1-c1ccccc1CS(=O)(=O)[N+](=O)[O-],CCCc1cc(O)ccc1-c1ccccc1CS(=O)(=O)[N+](=O)[O-],"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(-c2ccc(Cl)c(OCS(=O)(=O)[N+](=O)[O-])c2)c1', 'CCCc1cc(O)ccc1-c1ccccc1S(=O)(=O)[NH2+][O-]')","[0.33358407164848486, 0.6030333333333338, 0.6964999999999999, 0.5239555555555561]",0.27586206896551724
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"('crossover', 'CCCCN1c2ccc(O)cc2Sc2ccc(O)cc21', 'CN1CCN(CCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1')","[0.3640235626909091, 0.31336666666666674, 0.31328571428571433, 0.5551755555555562]",0.5104166666666666
CN1CCN(CCC(=O)N(C)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,CN1CCN(CCC(=O)N(C)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"('mutation', '[*;!H0:1]>>[*:1]-C', 'CN1CCN(CCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1')","[0.5368158769818182, 0.2817666666666667, 0.45835714285714285, 0.7143200000000007]",0.46226415094339623
Cc1cccc(S(=O)(=O)N2CCN(C)CC2)c1,Cc1cccc(S(=O)(=O)N2CCN(C)CC2)c1,"('crossover', 'Cc1cccc(S(=O)(=O)c2ccc(CCN3CCN(C)CC3)c(P)c2)c1', 'CCN([N+](=O)[O-])S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1')","[0.08820878429090907, 0.23851999999999998, 0.2901428571428572, 0.30483111111111155]",0.3333333333333333
CC(CN1CCN(C)CC1)c1cccc(S(=O)(=O)N(C)C)c1,CC(CN1CCN(C)CC1)c1cccc(S(=O)(=O)N(C)C)c1,"('mutation', '[*;!H0:1]>>[*:1]-C', 'CN1CCN(CCc2cccc(S(=O)(=O)N(C)C)c2)CC1')","[0.3035830245575758, 0.29796666666666666, 0.31328571428571433, 0.5518533333333341]",0.46464646464646464
CCCN1c2ccccc2Sc2ccc(-c3cc(S(=O)(=O)N(C)C)ccc3O)cc21,CCCN1c2ccccc2Sc2ccc(-c3cc(S(=O)(=O)N(C)C)ccc3O)cc21,"('crossover', 'CCCC(=O)NSc1cc(S(=O)(=O)N(C)C)ccc1O', 'CCCN1c2ccccc2Sc2ccc(C)cc21')","[0.651887377660606, 0.9703666666666676, 0.4346428571428572, 0.914195555555556]",0.45689655172413796
CCCN1c2ccccc2Sc2ccc([N+](=O)[O-])cc21,CCCN1c2ccccc2Sc2ccc([N+](=O)[O-])cc21,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(CC(=O)N2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)c1', 'CCCN1c2ccccc2Sc2ccc(C)cc21')","[0.18508363238787887, 0.8512500000000006, 0.33128571428571424, 0.4550933333333338]",0.3148148148148148
CN(C)S(=O)(=O)c1ccc(Cl)c(CC(=O)N2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)c1,CN(C)S(=O)(=O)c1ccc(Cl)c(CC(=O)N2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)c1,"('crossover', 'CN1CCN(CCC(=O)N(C)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1', 'CN1CCN(CCCCC(=O)N2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1')","[0.8425383041090909, 0.895083333333334, 0.7202142857142858, 0.9648466666666672]",0.3643410852713178
CN1CCN(CCC(N)N2c3ccccc3Sc3ccc(S(=O)(=O)[N+](=O)[O-])cc32)CC1,CN1CCN(CCC(N)N2c3ccccc3Sc3ccc(S(=O)(=O)[N+](=O)[O-])cc32)CC1,"('crossover', 'CN1CCN(CC(N)N2c3ccccc3Sc3ccc(S(=O)(=O)[N+](=O)[O-])cc32)CC1', 'Cc1cc(S(=O)(=O)N(C)C)ccc1-c1ccccc1F')","[0.7216205947878788, 0.44616666666666677, 0.8072857142857144, 0.887284444444445]",0.5087719298245614
