index,smiles,pedigree,descriptors,fitnesses
0,CN1CCN(Cc2ccc(S(=O)(=O)N(C)C)cc2C(N)=O)CC1,"('crossover', 'CN1CCN(CC(=O)NCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1', 'CN(C)S(=O)(=O)c1ccc(Cl)c(C(N)=O)c1')","[0.3489603382666666, 0.047200000000000276, 0.6210714285714287, 0.540074444444445]",0.45544554455445546
4,CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(CCN2CCN(c3ccccn3)CC2)c1', 'CN(C)S(=O)(=O)c1ccc(Cl)c(C(N)=O)c1')","[0.3640235626909091, 0.31336666666666674, 0.31328571428571433, 0.5551755555555562]",0.5104166666666666
5,CN1CCN(CC(=O)N(C)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"('crossover', 'CN(C(=O)CN1CCN(c2ccccn2)CC1)c1cc(S(=O)(=O)N(C)C)ccc1Cl', 'CC1CCN(CCCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1')","[0.49434421012121216, 0.2167500000000001, 0.45835714285714285, 0.6630200000000007]",0.4339622641509434
7,Cc1ccc(S(=O)(=O)N(C)C)cc1C=O,"('mutation', '[*:1]~[D1]>>[*:1]', 'Cc1ccc(S(=O)(=O)N(C)C)cc1C(N)=O')","[0.006247315987878789, 0.2596366666666667, 0.38892857142857146, 0.19377000000000028]",0.2916666666666667
13,CC1=C(C)c2ccccc2C(=O)C1=NC(N)CCN1CCN(C)CC1,"('mutation', '[*;!H0:1]>>[*:1]-N', 'CC1=C(C)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1')","[0.3491706409575758, 0.4232666666666667, 0.4423571428571429, 0.700054444444445]",0.4090909090909091
14,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,"('database', 'no reaction', 'no parent')","[0.667119344618182, 0.6300333333333336, 0.5979285714285715, 0.8899800000000002]",0.4049586776859504
18,CN(C)S(=O)(=O)c1ccc(Cl)c(Cc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2)c1,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(C(N)=O)c1', 'CN1CCN(N2CCN(CCc3ccc(NS(=O)(=O)c4cccc(Cl)c4)cc3)CC2)CC1')","[0.8273459226666665, 0.8558833333333339, 0.5967857142857144, 0.9314811111111111]",0.2781954887218045
21,CN1CCN(CC(N)N2c3ccccc3Sc3ccc(S(=O)(=O)C(N)=O)cc32)CC1,"('mutation', '[*;!H0:1]>>[*:1]-N', 'CN1CCN(CCN2c3ccccc3Sc3ccc(S(=O)(=O)C(N)=O)cc32)CC1')","[0.6731511565454545, 0.3623166666666668, 0.8069285714285714, 0.8647511111111115]",0.4824561403508772
24,CC(=O)NCC(=O)Nc1cc(S(=O)(=O)N(C)C)ccc1Cl,"('crossover', 'CN1CCN(CC(=O)NCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1', 'CN(C)S(=O)(=O)c1ccc(Cl)c(C(N)=O)c1')","[0.3274394080969697, 0.19415000000000002, 0.6827142857142857, 0.44042444444444473]",0.25
27,CN(c1ccc(Cl)c(C(N)=O)c1)S(=O)(=O)c1ccc(Cl)c(C(N)=O)c1,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(C(N)=O)c1', 'CN1CCN(N2CCN(CCc3ccc(NS(=O)(=O)c4cccc(Cl)c4)cc3)CC2)CC1')","[0.5333344916848486, 0.4193833333333334, 0.8825714285714286, 0.6169844444444448]",0.23770491803278687
28,CN1CCN(N2CCN(CCc3ccc(NS(=O)(=O)c4cccc(Cl)c4)cc3)CC2)CC1,"('crossover', 'CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2)CC1', 'CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2)CC1')","[0.7642318907393939, 0.4938833333333335, 0.4223571428571429, 0.9943277777777784]",0.3511450381679389
33,CN1CCN(CCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2NC(=O)c2ccccn2)CC1,"('crossover', 'Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)c1ccccn1', 'CN1CCN(CCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1')","[0.7551664376969698, 0.2767000000000001, 0.8210714285714286, 0.9632077777777783]",0.48739495798319327
35,CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21,"('crossover', 'Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)c1ccccn1', 'CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2')","[0.2880767265212121, 0.611566666666667, 0.2901428571428572, 0.5104755555555559]",0.5052631578947369
37,CN1CCN(CCN2c3ccccc3Sc3ccc(S(=O)(=O)C(N)=O)cc32)CC1,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(C(N)=O)c1', 'CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1')","[0.6276635837212118, 0.48151666666666665, 0.6210714285714285, 0.830213333333334]",0.5321100917431193
40,CC1(C)CCN(CCCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,"('mutation', '[*;!H0:1]>>[*:1]-C', 'CC1CCN(CCCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1')","[0.6217420309090907, 0.9508166666666676, 0.2901428571428572, 0.9021644444444452]",0.4396551724137931
42,CS(=O)(=O)c1ccc2c(c1)N(C(=O)N=N)c1ccccc1S2,"('mutation', '[*;!H0:1]~[*:2]>>[*:1]=N-[*:2]', 'CS(=O)(=O)c1ccc2c(c1)N(C(N)=O)c1ccccc1S2')","[0.3273460097333336, 0.723961666666667, 0.6475714285714286, 0.47555000000000025]",0.3394495412844037
44,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)NC(=O)c1ccccn1,"('crossover', 'Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)c1ccccn1', 'CN1CCN(N=CCCN2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)CC1')","[0.41546932138181825, 0.35037, 0.7747857142857144, 0.5863744444444446]",0.3076923076923077
46,CN1CCN(CCN2CCN(CN3CCN(c4ccccn4)CC3)CC2)CC1,"('crossover', 'CN1CCN(CCN2CCN(CCN3CCN(c4ccccn4)CC3)CC2)CC1', 'CN(C)S(=O)(=O)CCN1CCN(c2ccccn2)CC1')","[0.49185164904242434, 0.08768333333333411, 0.23092857142857146, 0.8315555555555564]",0.23529411764705882
50,CCCC(=O)NN1c2ccccc2Sc2cc(OC)ccc21,"('crossover', 'CN1CCN(CCCN2c3ccc(O)cc3Sc3ccc(Cl)cc32)CC1', 'COc1ccc2c(c1)Sc1ccccc1N2NC(=O)CCN1CCN(C)CC1')","[0.270026966109091, 0.7715333333333337, 0.2969285714285715, 0.5416522222222226]",0.28695652173913044
51,CN1CCN(CCc2ccc3ccccc3c2)CC1,"('crossover', 'CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2', 'CN1CCN(CCCc2ccc3ccccc3c2)CC1')","[0.08841908698181813, 0.5216166666666667, 0.04628571428571429, 0.4621000000000006]",0.42424242424242425
53,CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,"('crossover', 'COc1ccc2c(c1)Sc1ccccc1N2NC(=O)CCN1CCN(C)CC1', 'CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21')","[0.539814603151515, 0.5733666666666669, 0.3132857142857143, 0.7895533333333341]",0.5728155339805825
61,CN1CCN(CCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"('crossover', 'CC(CN1CCN(S(=O)(=O)CN2CCN(C)CC2)CC1)c1ccccc1', 'CN1CCN(CC(=O)NCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1')","[0.49434421012121216, 0.27771666666666667, 0.5211428571428571, 0.6612055555555562]",0.47115384615384615
65,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)C(N)=O,"('crossover', 'Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)c1ccccn1', 'CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2')","[0.18205553624242432, 0.028186666666666704, 0.7826428571428571, 0.3319544444444446]",0.2523364485981308
66,CN1CCN(Cc2cc(S(=O)(=O)N(C)Cl)ccc2Cl)CC1,"('crossover', 'CC(=O)NCC(=O)Nc1cc(S(=O)(=O)N(C)C)ccc1Cl', 'CN1CCN(Cc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1')","[0.3819924339636364, 0.39361666666666667, 0.31328571428571433, 0.5003088888888895]",0.40594059405940597
67,CCCCCN1c2ccccc2Sc2ccc(S(=O)(=O)C(N)=O)cc21,"('crossover', 'CN1CCN(CCN2c3ccccc3Sc3ccc(S(=O)(=O)C(N)=O)cc32)CC1', 'CCCC(=O)NN1c2ccccc2Sc2cc(OC)ccc21')","[0.4578531348484847, 0.8053166666666672, 0.5747857142857142, 0.6700800000000006]",0.34782608695652173
72,CN(C)S(=O)(=O)c1ccc(-c2ccc3c(c2)N(CC(=O)N=N)c2ccccc2S3)c(C(N)=O)c1,"('mutation', '[*:1]~[*:2]>>[*:1]C[*:2]', 'CN(C)S(=O)(=O)c1ccc(-c2ccc3c(c2)N(C(=O)N=N)c2ccccc2S3)c(C(N)=O)c1')","[0.8184954428848487, 0.7271783333333337, 0.9785, 0.9888266666666669]",0.3769230769230769
73,C=NS(=O)(=O)c1ccc2c(c1)N(C(N)=O)c1ccccc1S2,"('mutation', '[*;!H0:1]~[*:2]>>[*:1]=N-[*:2]', 'CS(=O)(=O)c1ccc2c(c1)N(C(N)=O)c1ccccc1S2')","[0.3273460097333336, 0.5428833333333335, 0.6630714285714286, 0.505157777777778]",0.32727272727272727
77,CN1CCN(N2c3ccccc3Pc3ccc(S(C)(=O)=O)cc32)CC1,"('mutation', '[#16:1]>>[#15:1]', 'CN1CCN(N2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1')","[0.4549001047696966, 0.30555, 0.3132857142857143, 0.7198422222222228]",0.40540540540540543
78,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(CN2CCN(c3ccccn3)CC2)c1', 'CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2')","[0.7550785843030303, 0.6045000000000003, 0.6210714285714287, 0.976235555555556]",0.49572649572649574
81,CN(C)S(=O)(=O)CCN1CCN(c2ccccn2)CC1,"('mutation', '[*:1]~[*:2]>>[*:1]C[*:2]', 'CN(C)S(=O)(=O)CN1CCN(c2ccccn2)CC1')","[0.22165559679999988, 0.09916666666666685, 0.4053571428571429, 0.44848666666666726]",0.3557692307692308
82,Cc1ccc2c3ccccc3n(CCN3CCN(C)CC3)c2c1,"('crossover', 'CN1CCN(c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1', 'CN1CCN(CCn2c3ccccc3c3ccc(S(C)(=O)=O)cc32)CC1')","[0.2491055993939395, 0.6417200000000003, 0.0815, 0.6457555555555561]",0.4205607476635514
83,CN1CCN(N2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,"('crossover', 'CN1CCN(Cc2ccc3ccccc3c2)CC1', 'CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1')","[0.4548712694303028, 0.5592000000000003, 0.3132857142857143, 0.6813977777777784]",0.5
86,CN(C)S(=O)(=O)c1ccc(CCN2CCN(c3ccccn3)CC2)c(C(N)=O)c1,"('crossover', 'CN(C)S(=O)(=O)CCN1CCN(c2ccccn2)CC1', 'CN1CCN(Cc2ccc(S(=O)(=O)N(C)C)cc2C(N)=O)CC1')","[0.5823741234060608, 0.2159166666666669, 0.7131428571428572, 0.8047411111111119]",0.45614035087719296
