,index,smiles,descriptors,fitnesses,generation,origin,reaction / parent,parent
0,0,CCCN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3C)CC1,"[0.3821978095515152, 0.17700000000000002, 0.5571428571428572, 0.551914444444445]",0.3603603603603603,0,crossover,CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)ccc21,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1
1,145,CN1CCN(CS(=O)(=O)N2CCN(CCc3ccccc3)CC2)CC1,"[0.4279059006060605, 0.14690000000000047, 0.33642857142857147, 0.6779533333333341]",0.3418803418803419,0,crossover,CN1CCN(CCCN2c3ccc(O)cc3Sc3ccc(Cl)cc32)CC1,CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)ccc21
2,140,CS(=O)(=O)c1ccc2c(c1)N(C(N)=O)c1ccccc1S2,"[0.2879664674060605, 0.5452500000000002, 0.5747857142857142, 0.46488000000000035]",0.3490566037735849,0,crossover,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
3,134,Cc1ccc2nc3ccccc3c(NCCN3CCN(C)CC3)c2c1,"[0.33095680858181814, 0.6426200000000003, 0.22428571428571434, 0.7379188888888896]",0.4107142857142857,0,database,no reaction,no parent
4,130,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,"[0.5367986971878785, 0.844533333333334, 0.2901428571428572, 0.8000977777777785]",0.42105263157894735,0,database,no reaction,no parent
5,127,CN1CCN(CCN2CCN(c3ccccn3)CC2)CC1,"[0.19462619958787872, 0.15850000000000022, 0.18464285714285716, 0.5203000000000007]",0.2782608695652174,0,crossover,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1
6,125,CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.19729969338181824, 0.3793166666666667, 0.2901428571428572, 0.4467088888888894]",0.42,0,database,no reaction,no parent
7,110,CN1CCN(CCN2c3ccc(O)cc3Sc3ccc(Cl)cc32)CC1,"[0.45490063940606046, 0.7326166666666672, 0.21392857142857144, 0.7180533333333339]",0.4144144144144144,0,crossover,CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,CN1CCN(CCCN2c3ccc(O)cc3Sc3ccc(Cl)cc32)CC1
8,102,CCCN1c2ccc(O)cc2Sc2ccc(Cl)cc21,"[0.2001468568121211, 0.9263833333333339, 0.16764285714285712, 0.4553200000000004]",0.25225225225225223,0,crossover,CN1CCN(CCCN2c3ccc(O)cc3Sc3ccc(Cl)cc32)CC1,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1
9,98,CN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,"[0.20011748683636363, 0.6371000000000003, 0.267, 0.4242200000000005]",0.3939393939393939,0,crossover,COc1ccc2c(c1)Sc1ccccc1N2NC(=O)CCN1CCN(C)CC1,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
10,96,CN1CCN(CCCN2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)CC1,"[0.5794684765575756, 0.3806, 0.33642857142857147, 0.863342222222223]",0.4083333333333333,0,crossover,CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,CN1CCN(CCCN2c3ccc(O)cc3Sc3ccc(Cl)cc32)CC1
11,90,CN(C(=O)CN1CCN(c2ccccn2)CC1)c1cc(S(=O)(=O)N(C)C)ccc1Cl,"[0.6852863283999998, 0.37838333333333346, 0.5504285714285715, 0.8736088888888893]",0.42372881355932196,0,mutation,[*;!H0:1]>>[*:1]-C,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1
12,86,CN1c2ccc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)cc2C(=O)C1O,"[0.5762320523636363, 0.2810833333333333, 0.5797142857142857, 0.7836344444444451]",0.4152542372881356,0,mutation,[*:1]!-[*:2]>>[*:1]-[*:2],CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)ccc21
13,83,CN(C)S(=O)(=O)c1ccc(Cl)c(CN2CCN(c3ccccn3)CC2)c1,"[0.512494014109091, 0.4679166666666667, 0.4053571428571429, 0.7116866666666671]",0.44954128440366975,0,crossover,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1
14,82,CN1CCN(CCCc2ccc3ccccc3c2)CC1,"[0.13089075384242418, 0.5866333333333335, 0.04628571428571429, 0.5134000000000006]",0.4117647058823529,0,crossover,CN1CCN(CCCN2c3ccc(O)cc3Sc3ccc(Cl)cc32)CC1,CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1
15,81,CN(C)S(=O)(=O)CN1CCN(c2ccccn2)CC1,"[0.1791839299393938, 0.09208333333333348, 0.4053571428571429, 0.3944088888888894]",0.3269230769230769,0,crossover,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1
16,4,CC1=C(C)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1,"[0.30368306813333334, 0.5424666666666669, 0.2565, 0.6655166666666672]",0.4166666666666667,0,crossover,CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1,COc1ccc2c(c1)Sc1ccccc1N2NC(=O)CCN1CCN(C)CC1
17,73,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccccn2)c1,"[0.34558921208484855, 0.45626666666666676, 0.5669285714285714, 0.49461111111111145]",0.3181818181818182,0,crossover,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1
18,78,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(C=NC(=O)Nc2ccccc2F)c1,"[0.7581979970909092, 0.6265000000000004, 0.6094285714285714, 0.9919055555555559]",0.41600000000000004,0,mutation,[*;!H0:1]~[*:2]>>[*:1]=C-[*:2],CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1
19,5,CN1CCN(CCc2ccc(NS(=O)(=O)CN3CCN(C)CC3)cc2)CC1,"[0.5158651402909091, 0.15385000000000046, 0.4223571428571429, 0.7840277777777785]",0.3170731707317073,0,crossover,CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2)CC1,CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1
20,7,CN(C)S(=O)(=O)c1ccc(Cl)c(F)c1,"[0.03637168311515151, 0.37156666666666666, 0.267, 0.13647555555555582]",0.2736842105263158,0,crossover,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1
21,14,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,"[0.667119344618182, 0.6300333333333336, 0.5979285714285715, 0.8899800000000002]",0.4049586776859504,0,database,no reaction,no parent
22,21,CCN(O)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1,"[0.685360465248485, 0.5202166666666667, 0.7515714285714286, 0.8505077777777782]",0.4016393442622951,0,crossover,CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1
23,28,CN1CCN(N2CCN(CCc3ccc(NS(=O)(=O)c4cccc(Cl)c4)cc3)CC2)CC1,"[0.7642318907393939, 0.4938833333333335, 0.4223571428571429, 0.9943277777777784]",0.3511450381679389,0,crossover,CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2)CC1,CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2)CC1
24,33,CS(=O)(=O)N1C(=O)C(=O)c2cc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)ccc21,"[0.763947961987879, 0.2040833333333336, 0.8009999999999999, 0.8716344444444447]",0.392,0,crossover,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)ccc21
25,13,CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1,"[0.30968083951515163, 0.45840000000000014, 0.401, 0.6316811111111118]",0.4036697247706422,0,database,no reaction,no parent
26,37,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc(O)ccc32)CC1,"[0.4823090818424241, 0.5272666666666668, 0.42178571428571426, 0.7500833333333339]",0.4553571428571429,0,crossover,CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1,COc1ccc2c(c1)Sc1ccccc1N2NC(=O)CCN1CCN(C)CC1
27,40,CC1CCN(CCCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,"[0.5792703640484846, 0.8858000000000007, 0.2901428571428572, 0.8508644444444451]",0.43478260869565216,0,crossover,COc1ccc2c(c1)Sc1ccccc1N2NC(=O)CCN1CCN(C)CC1,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
28,50,CCCC(=O)NN1c2ccccc2Sc2cc(OC)ccc21,"[0.270026966109091, 0.7715333333333337, 0.2969285714285715, 0.5416522222222226]",0.28695652173913044,0,crossover,CN1CCN(CCCN2c3ccc(O)cc3Sc3ccc(Cl)cc32)CC1,COc1ccc2c(c1)Sc1ccccc1N2NC(=O)CCN1CCN(C)CC1
29,51,CN1CCN(Cc2ccc3ccccc3c2)CC1,"[0.04594742012121208, 0.5145333333333334, 0.04628571428571429, 0.4080222222222228]",0.3939393939393939,0,crossover,CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,COc1ccc2c(c1)Sc1ccccc1N2NC(=O)CCN1CCN(C)CC1
30,53,CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,"[0.539814603151515, 0.5733666666666669, 0.3132857142857143, 0.7895533333333341]",0.5728155339805825,0,crossover,COc1ccc2c(c1)Sc1ccccc1N2NC(=O)CCN1CCN(C)CC1,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21
31,61,CN1CCN(CC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"[0.4518725432606061, 0.2127, 0.5211428571428571, 0.6099055555555561]",0.4423076923076923,0,crossover,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1
32,35,CCCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,"[0.28506082055757576, 0.767133333333334, 0.267, 0.5268200000000006]",0.3980582524271845,0,crossover,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
33,105,CN(C)S(=O)(=O)c1ccc(Cl)c(O)c1,"[0.030324217757575756, 0.2993166666666667, 0.4115, 0.15544000000000036]",0.2736842105263158,1,crossover,CN1CCN(CC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc(O)ccc32)CC1
34,83,CN1CCN(N2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,"[0.4548712694303028, 0.5592000000000003, 0.3132857142857143, 0.6813977777777784]",0.5,1,crossover,CN1CCN(Cc2ccc3ccccc3c2)CC1,CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1
35,90,CS(=O)(=O)c1ccc2c(c1)N(CCN1CCN(S(C)(=O)=O)CC1)c1ccccc1S2,"[0.7336385432727274, 0.4616666666666667, 0.5571428571428572, 0.8886622222222226]",0.4695652173913044,1,crossover,CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1
36,96,CN1CCN(N=CCCN2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)CC1,"[0.6188480188848485, 0.37823333333333337, 0.4247142857142857, 0.9036200000000006]",0.43333333333333335,1,mutation,[*;!H0:1]~[*:2]>>[*:1]=N-[*:2],CN1CCN(CCCN2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)CC1
37,99,CN1CCCCC1CCN1CCN(c2ccccn2)CC1,"[0.19161029362424237, 0.4296666666666667, 0.1615, 0.5308444444444452]",0.2352941176470588,1,crossover,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,CN(C(=O)CN1CCN(c2ccccn2)CC1)c1cc(S(=O)(=O)N(C)C)ccc1Cl
38,108,CS(=O)(=O)c1ccc2c(c1)N(CCc1ccccn1)c1ccccc1S2,"[0.4760029388363638, 0.8050833333333339, 0.3590714285714286, 0.7229311111111114]",0.3445378151260504,1,crossover,CN(C)S(=O)(=O)c1ccc(Cl)c(CN2CCN(c3ccccn3)CC2)c1,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
39,110,Cc1ccc2c(c1)N(CCN1CCN(C)CC1)c1ccccc1S2,"[0.34599066303030324, 0.7241866666666672, 0.06942857142857144, 0.6965222222222228]",0.5048543689320388,1,crossover,CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1
40,114,CN1CCN(CN2CCN(CS(=O)(=O)N3CCN(CCc4ccccc4)CC3)CC2)CC1,"[0.725131350060606, 0.07608333333333439, 0.38271428571428573, 0.9892088888888897]",0.2898550724637681,1,crossover,CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,CN1CCN(CS(=O)(=O)N2CCN(CCc3ccccc3)CC2)CC1
41,117,CN1CCN(CC(=O)NCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"[0.6246648575515151, 0.06540000000000042, 0.7289999999999999, 0.7544577777777784]",0.412280701754386,1,crossover,CN1CCN(CC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc(O)ccc32)CC1
42,118,CN(C)S(=O)(=O)c1ccc(Cl)c(Cl)c1,"[0.0847669845090909, 0.45728333333333343, 0.267, 0.19260888888888922]",0.2736842105263158,1,crossover,CN(C)S(=O)(=O)c1ccc(Cl)c(CN2CCN(c3ccccn3)CC2)c1,CN1CCN(CCCc2ccc3ccccc3c2)CC1
43,121,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)c1ccccn1,"[0.28514867395151533, 0.39877, 0.5669285714285714, 0.49157777777777817]",0.3302752293577982,1,crossover,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccccn2)c1,CN1CCN(CCN2CCN(c3ccccn3)CC2)CC1
44,125,CN1CCN(c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"[0.2790802289696969, 0.3070166666666666, 0.31328571428571433, 0.4670533333333339]",0.4329896907216495,1,crossover,CN1CCN(CCCc2ccc3ccccc3c2)CC1,CN(C(=O)CN1CCN(c2ccccn2)CC1)c1cc(S(=O)(=O)N(C)C)ccc1Cl
45,134,CN1CCN(CCn2c3ccccc3c3ccc(S(C)(=O)=O)cc32)CC1,"[0.4429295395151514, 0.49090000000000006, 0.32535714285714284, 0.7387866666666676]",0.485981308411215,1,mutation,[*:1]~[D2]~[*:2]>>[*:1]-[*:2],CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1
46,145,CN1CCN(CS(=O)(=O)N(C)CCN(C)CCc2ccccc2)CC1,"[0.43401393110303016, 0.18790000000000048, 0.33642857142857147, 0.7014422222222231]",0.38392857142857145,1,mutation,[*:1]@[*:2]>>([*:1].[*:2]),CN1CCN(CS(=O)(=O)N2CCN(CCc3ccccc3)CC2)CC1
47,109,CN(C(=O)CN1CCN(Cl)CC1)c1cc(S(=O)(=O)N(C)C)ccc1Cl,"[0.5547847482545454, 0.30408333333333337, 0.45835714285714285, 0.6622311111111115]",0.36936936936936937,1,crossover,CN(C(=O)CN1CCN(c2ccccn2)CC1)c1cc(S(=O)(=O)N(C)C)ccc1Cl,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccccn2)c1
