elites,descriptors,fitnesses
CN1CCN(CCN(C)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.3702022667878788, 0.36795, 0.3132857142857143, 0.6411200000000007]",0.5454545454545454
CN1CCN(CCCCN(S(=O)(=O)c2ccc3ccccc3c2)S(=O)(=O)N(C)C)CC1,"[0.7369287803151515, 0.36074999999999996, 0.5802857142857143, 0.9290844444444452]",0.5
CCCN(C)S(=O)(=O)C(=O)N1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,"[0.5516998867999999, 0.748183333333334, 0.7202142857142858, 0.700413333333334]",0.325
CN1CCN(OC(=O)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.33060220623030295, 0.4020833333333333, 0.47800000000000004, 0.5187200000000007]",0.3888888888888889
CN1CCN(CCCN(C)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.41267393364848487, 0.43296666666666667, 0.3132857142857143, 0.6924200000000007]",0.5294117647058824
CN1CCN(S(=O)(=O)c2ccccc2)CC1,"[0.04573711743030301, 0.18711666666666663, 0.2901428571428572, 0.25219777777777824]",0.3541666666666667
CN(C)S(=O)(=O)c1ccc2c(c1)c(=O)c(O)cn2-c1ccccc1,"[0.3608578120969696, 0.40776666666666667, 0.5686428571428572, 0.5786955555555557]",0.36036036036036034
CN1CCN(CCN(S(=O)(=O)c2ccc3ccccc3c2)S(=O)(=O)N(C)C)CC1,"[0.6519854465939393, 0.2307166666666669, 0.5802857142857143, 0.8264844444444452]",0.5277777777777778
CN1CCN(CCCC(=O)N2c3ccccc3Sc3ccc([N+](=O)[O-])cc32)CC1,"[0.5671421564484846, 0.708616666666667, 0.49949999999999994, 0.8219822222222231]",0.4608695652173913
CN1CCN(CCN(C)CN(C)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.5006331733333332, 0.34950000000000014, 0.33642857142857147, 0.7814533333333341]",0.5333333333333333
CONS(=O)(=O)N1CCN(S(=O)(=O)N(C)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.7668638243757574, 0.03641666666666713, 0.9528571428571428, 0.7780788888888892]",0.336
Cc1ccc2nc3ccccc3c(CCCCN3CCN(C)CC3)c2c1,"[0.370412569478788, 0.7944200000000006, 0.1383571428571429, 0.7873444444444451]",0.4
Cc1ccc2c(c1)N(C(=O)CCCN1CCN(C)CC1)c1ccccc1S2,"[0.47329540449696966, 0.7753200000000007, 0.1913571428571429, 0.8006777777777782]",0.4818181818181818
CCN(c1ccccc1)S(=O)(=O)CCC(=O)N1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,"[0.7820977659757575, 0.9117500000000006, 0.7202142857142858, 0.9852577777777782]",0.2714285714285714
CN(O)N1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,"[0.1940973097333335, 0.6555833333333337, 0.4989285714285714, 0.3927766666666669]",0.29357798165137616
CCN(Cl)S(=O)(=O)c1ccc(Cl)c(-c2ccc(Cl)c(NCCN3CCN(C)CC3)c2)c1,"[0.8457334246787882, 0.8306833333333339, 0.39921428571428574, 0.9971500000000001]",0.4491525423728814
CN1CCN(CCNN2CCN(CCNCc3ccccc3)CC2)CC1,"[0.4100004398545454, 0.10763333333333414, 0.26442857142857146, 0.756682222222223]",0.2755905511811024
CN(C)S(=O)(=O)N(O)N1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,"[0.4758804895393938, 0.51835, 0.7659285714285715, 0.5781411111111112]",0.34210526315789475
CN1CCN(N2CCN(CCNCN(C)S(=O)(=O)c3ccc4ccccc4c3)CC2)CC1,"[0.7129152890666667, 0.21456666666666735, 0.4455, 0.9872166666666674]",0.43902439024390244
CN1CCN(CCc2ccc3ccccc3c2)CC1,"[0.08841908698181813, 0.5216166666666667, 0.04628571428571429, 0.4621000000000006]",0.42424242424242425
CN1CCN(CCN(O)N2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1,"[0.5337944260484848, 0.5918500000000001, 0.5452142857142857, 0.7581100000000006]",0.46017699115044247
CN(C)S(=O)(=O)N(CC(=O)N1CCN(CCP)CC1)S(=O)(=O)c1ccc2ccccc2c1,"[0.8337324201757575, 0.1927000000000001, 0.7022142857142857, 0.9782622222222221]",0.4180327868852459
CN1CCN(CCN(C=N)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.4095818091151514, 0.36416166666666666, 0.4836428571428572, 0.6728944444444451]",0.5145631067961165
NC(=O)CN1C(=O)C(=O)c2cc([N+](=O)[O-])ccc21,"[0.07284415249696971, 0.018233333333333396, 0.8829285714285715, 0.21082555555555554]",0.13675213675213677
CN(CC(F)=CCF)S(=O)(=O)c1ccc2ccccc2c1,"[0.2608459277575758, 0.6305333333333336, 0.267, 0.4325533333333338]",0.3119266055045872
CN(C)S(=O)(=O)c1ccc2ccccc2c1,"[0.030505150472727265, 0.43168333333333336, 0.267, 0.27578666666666707]",0.3870967741935484
CN1CCN(CCC=C(F)S(=O)(=O)N(C)C)CC1,"[0.16406568534545451, 0.13770000000000004, 0.31328571428571433, 0.33724222222222267]",0.3854166666666667
CCN(Cl)S(=O)(=O)Cc1ccccc1,"[0.024326446375757562, 0.41534999999999994, 0.267, 0.1922088888888893]",0.20588235294117646
CN(S(=O)(=O)c1ccc2ccccc2c1)S(=O)(=O)N1CCN(CO)CC1,"[0.5275523114303031, 0.12875, 0.7016428571428571, 0.6449822222222229]",0.4017857142857143
CCCC(=O)N1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,"[0.2699167069939394, 0.8373666666666671, 0.45321428571428574, 0.5079488888888893]",0.2894736842105263
Cc1ccc2c(c1)N(C(=O)CC1CCN(C)CC1)c1ccccc1S2,"[0.3853361648121212, 0.8927033333333342, 0.16821428571428573, 0.7080888888888893]",0.37719298245614036
CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc([N+](=O)[O-])cc32)CC1,"[0.5246704895878785, 0.6436000000000003, 0.49949999999999994, 0.7706822222222229]",0.4732142857142857
CCC=C(C)CN(C)S(=O)(=O)c1ccc2ccccc2c1,"[0.23675545427878794, 0.7194333333333338, 0.267, 0.5312422222222227]",0.3364485981308411
CCCN(C)S(=O)(=O)c1ccc2ccccc2c1,"[0.11544848419393947, 0.5617166666666669, 0.267, 0.37838666666666715]",0.33663366336633666
CN1CCC(CC(=O)N2c3ccccc3Sc3ccc([N+](=O)[O-])cc32)CC1,"[0.47918291676363634, 0.8260000000000006, 0.47635714285714287, 0.7293933333333341]",0.36134453781512604
CONS(=O)(=O)c1ccc2c(c1)Sc1ccccc1N2NC(=O)CN1CCN(C)CC1,"[0.7216205947878791, 0.3179333333333333, 0.673, 0.8728466666666673]",0.4661016949152542
CN1CCN(CCC=C(F)CN(C)CCN2CCN(C)CC2)CC1,"[0.3524105283999998, 0.19275000000000056, 0.11571428571428573, 0.6575444444444453]",0.24390243902439024
Cc1ccc2c(c1)N(C(=O)CN1CCN(C)CC1)c1ccccc1S2,"[0.3883520707757575, 0.6452866666666671, 0.1913571428571429, 0.6980777777777782]",0.4672897196261682
CC(=CCCN1CCN(C)CC1)CN(C)S(=O)(=O)c1ccc2ccccc2c1,"[0.5339809037333334, 0.5906833333333336, 0.3132857142857143, 0.845275555555556]",0.5471698113207547
CCCC(=O)N1c2ccccc2Sc2ccc(C)cc21,"[0.1760699550424244, 0.9040700000000005, 0.1450714285714286, 0.48664444444444493]",0.3148148148148148
CN1CCN(CCN(C)CC(F)=CCN(C)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.6764570470181818, 0.49881666666666674, 0.33642857142857147, 0.937653333333334]",0.4956521739130435
CCN(Cl)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(C)CC2)c1,"[0.5547847482545456, 0.36504999999999993, 0.5211428571428571, 0.6604166666666671]",0.36607142857142855
CN1CCN(CCc2cn(CCC(N)=O)c3ccc(S(=O)(=O)N(C)C)cc3c2=O)CC1,"[0.6794232590060605, 0.0695166666666673, 0.7782142857142856, 0.8948133333333342]",0.4406779661016949
